Input Term,Best Match,URI,Similarity Score
oronasopharynx,nasopharynx,http://purl.obolibrary.org/obo/UBERON_0001728,0.7058
ovary,ovary,http://purl.obolibrary.org/obo/UBERON_0000992,1.0000
peritoneum cysts,gastrointestinal peritoneum,http://purl.obolibrary.org/obo/UBERON_3010819,0.6881
plant leaf,leaf,http://purl.obolibrary.org/obo/PO_0025034,0.8877
pleural wash,pleural fluid,http://purl.obolibrary.org/obo/UBERON_0001087,0.7351
lungs,lung,http://purl.obolibrary.org/obo/UBERON_0002048,0.9225
posterior intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7641
proventriculus,proventriculus,http://purl.obolibrary.org/obo/UBERON_0007357,1.0000
pyloric cacae (encysted),obsolete pyloric caecum,http://purl.obolibrary.org/obo/UBERON_2002253,0.7170
pyloric ceca,pyloric stomach,http://purl.obolibrary.org/obo/UBERON_0008246,0.6862
rectum,rectum,http://purl.obolibrary.org/obo/UBERON_0001052,1.0000
redia in gonads,gonad,http://purl.obolibrary.org/obo/UBERON_0000991,0.6033
Relay # 70,digit 7,http://purl.obolibrary.org/obo/UBERON_0016857,0.4431
Panel F,control panel,http://purl.obolibrary.org/obo/ENVO_03501210,0.6238
renal,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,0.9232
iliac,iliac ramus,http://purl.obolibrary.org/obo/UBERON_4200220,0.7856
kidney veins,renal vein,http://purl.obolibrary.org/obo/UBERON_0001140,0.8893
right cranial sinus,frontal sinus,http://purl.obolibrary.org/obo/UBERON_0001760,0.7479
rumen,rumen,http://purl.obolibrary.org/obo/UBERON_0007365,1.0000
rumen,rumen,http://purl.obolibrary.org/obo/UBERON_0007365,1.0000
omasum,omasum,http://purl.obolibrary.org/obo/UBERON_0007362,1.0000
reticulum,stellate reticulum,http://purl.obolibrary.org/obo/UBERON_0006950,0.7261
saliva,saliva,http://purl.obolibrary.org/obo/UBERON_0001836,1.0000
oronasopharynx,nasopharynx,http://purl.obolibrary.org/obo/UBERON_0001728,0.7058
sinus(es),sinus venosus,http://purl.obolibrary.org/obo/UBERON_0002063,0.7685
skeletal muscle,skeletal muscle tissue,http://purl.obolibrary.org/obo/UBERON_0001134,0.8582
skin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,0.8300
small intestine,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108,1.0000
small intestine,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108,1.0000
abo,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358,0.5669
sm intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8384
spiral intestine,spiral valve of intestine,http://purl.obolibrary.org/obo/UBERON_0010016,0.8341
spiral valve,spiral valve of intestine,http://purl.obolibrary.org/obo/UBERON_0010016,0.7531
spleen,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,1.0000
spleen,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,1.0000
liver,liver,http://purl.obolibrary.org/obo/UBERON_0002107,1.0000
stifle region,spatial region,http://purl.obolibrary.org/obo/BFO_0000006,0.6825
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
stomach #1,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,0.7423
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,1.0000
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
rectum,rectum,http://purl.obolibrary.org/obo/UBERON_0001052,1.0000
stomach wall (cysts),abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.7025
stomach wall (encysted),wall of stomach,http://purl.obolibrary.org/obo/UBERON_0001167,0.8607
subcutaneous,subcutaneous preadipocyte,http://purl.obolibrary.org/obo/CL_0002583,0.6675
subcutaneous tissue,cutaneous elastic tissue,http://purl.obolibrary.org/obo/UBERON_0003967,0.8062
swim bladder,swim bladder,http://purl.obolibrary.org/obo/UBERON_0006860,1.0000
throat,throat,http://purl.obolibrary.org/obo/UBERON_0000341,1.0000
tissue,tissue,http://purl.obolibrary.org/obo/UBERON_0000479,1.0000
trachea,trachea,http://purl.obolibrary.org/obo/UBERON_0003126,1.0000
trachea,trachea,http://purl.obolibrary.org/obo/UBERON_0003126,1.0000
bronchi,bronchus,http://purl.obolibrary.org/obo/UBERON_0002185,0.8626
trunk,trunk,http://purl.obolibrary.org/obo/UBERON_0002100,1.0000
unattached,unidirectional,http://purl.obolibrary.org/obo/PATO_0001902,0.5996
urinary bladder,urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001255,1.0000
urine,urine,http://purl.obolibrary.org/obo/UBERON_0001088,1.0000
vena cava,vena cava,http://purl.obolibrary.org/obo/UBERON_0004087,1.0000
ventral colon,transverse colon,http://purl.obolibrary.org/obo/UBERON_0001157,0.7353
ventriculus,cardiac ventricle,http://purl.obolibrary.org/obo/UBERON_0002082,0.8507
visceral ligaments,visceral fascia,http://purl.obolibrary.org/obo/UBERON_0011237,0.7516
