Input Term,Best Match,URI
ear,ear,http://purl.obolibrary.org/obo/UBERON_0001690
#inner,inner mental barbel,http://purl.obolibrary.org/obo/UBERON_2001969
#encapsulated under body skin,skin secretion,http://purl.obolibrary.org/obo/UBERON_0006535
esophagus,esophagus,http://purl.obolibrary.org/obo/UBERON_0001043
esophagus,esophagus,http://purl.obolibrary.org/obo/UBERON_0001043
abdominal cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684
esophagus,esophagus,http://purl.obolibrary.org/obo/UBERON_0001043
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945
esophagus,esophagus,http://purl.obolibrary.org/obo/UBERON_0001043
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945
lg intes.,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059
external,external to,http://purl.obolibrary.org/obo/PATO_0002483
eye,eye,http://purl.obolibrary.org/obo/UBERON_0000970
#or orbit,obsolete orbit,http://purl.obolibrary.org/obo/UBERON_2001967
#eye - periorbital sinuses,inferior petrosal sinus,http://purl.obolibrary.org/obo/UBERON_0007160
eyes,eye,http://purl.obolibrary.org/obo/UBERON_0000970
eyelids,eyelid,http://purl.obolibrary.org/obo/UBERON_0001711
fascia of thigh,fascia,http://purl.obolibrary.org/obo/UBERON_0008982
feces,feces,http://purl.obolibrary.org/obo/UBERON_0001988
feces-in intestine,feces,http://purl.obolibrary.org/obo/UBERON_0001988
#front limb (growth),limb development,http://purl.obolibrary.org/obo/GO_0060173
gall bladder,gallbladder,http://purl.obolibrary.org/obo/UBERON_0002110
gallbladder,gallbladder,http://purl.obolibrary.org/obo/UBERON_0002110
gall bladder,gallbladder,http://purl.obolibrary.org/obo/UBERON_0002110
liver,liver,http://purl.obolibrary.org/obo/UBERON_0002107
#gastric polyp,principal gastric gland,http://purl.obolibrary.org/obo/UBERON_0009971
gastrointestinal tract,digestive tract,http://purl.obolibrary.org/obo/UBERON_0001555
gill,gill,http://purl.obolibrary.org/obo/UBERON_0002535
#gill cavity,tooth cavity,http://purl.obolibrary.org/obo/UBERON_0002487
gill filament,gill filament,http://purl.obolibrary.org/obo/UBERON_0009120
gill(s),gill,http://purl.obolibrary.org/obo/UBERON_0002535
gills,gill,http://purl.obolibrary.org/obo/UBERON_0002535
#gi tract,pineal tract,http://purl.obolibrary.org/obo/UBERON_0034715
gizzard,gizzard,http://purl.obolibrary.org/obo/UBERON_0005052
#gullet,sleet pellet,http://purl.obolibrary.org/obo/ENVO_03400015
#gut,presumptive gut,http://purl.obolibrary.org/obo/UBERON_0007026
#gut washings,presumptive gut,http://purl.obolibrary.org/obo/UBERON_0007026
heart,heart,http://purl.obolibrary.org/obo/UBERON_0000948
heart - aortic bulb,bulb of aorta,http://purl.obolibrary.org/obo/UBERON_0010172
heart muscle,chest muscle,http://purl.obolibrary.org/obo/UBERON_0002426
hindgut,hindgut,http://purl.obolibrary.org/obo/UBERON_0001046
#hind quarter- near knee,knee joint,http://purl.obolibrary.org/obo/UBERON_0001485
intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160
intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945
jejunum,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115
ileum,ileum,http://purl.obolibrary.org/obo/UBERON_0002116
kidney,kidney,http://purl.obolibrary.org/obo/UBERON_0002113
kidney,kidney,http://purl.obolibrary.org/obo/UBERON_0002113
sm intestine,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108
large intestine,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059
left opercular cavity,opercular cavity,http://purl.obolibrary.org/obo/UBERON_2002154
lg intestine,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059
liver,liver,http://purl.obolibrary.org/obo/UBERON_0002107
liver (embedded),liver,http://purl.obolibrary.org/obo/UBERON_0002107
liver,liver,http://purl.obolibrary.org/obo/UBERON_0002107
lungs,lung,http://purl.obolibrary.org/obo/UBERON_0002048
lung,lung,http://purl.obolibrary.org/obo/UBERON_0002048
lung(s),lung,http://purl.obolibrary.org/obo/UBERON_0002048
lungs,lung,http://purl.obolibrary.org/obo/UBERON_0002048
mantle cavity,mantle cavity,http://purl.obolibrary.org/obo/UBERON_0006580
#meninges,forebrain meninges,http://purl.obolibrary.org/obo/UBERON_0003548
mesenteries,mesentery,http://purl.obolibrary.org/obo/UBERON_0002095
mesentery,mesentery,http://purl.obolibrary.org/obo/UBERON_0002095
mesentery,mesentery,http://purl.obolibrary.org/obo/UBERON_0002095
#body cavity,organ cavity,http://purl.obolibrary.org/obo/UBERON_0002558
mouth,mouth,http://purl.obolibrary.org/obo/UBERON_0000165
#muscle,muscle of leg,http://purl.obolibrary.org/obo/UBERON_0001383
#muscles,muscle structure,http://purl.obolibrary.org/obo/UBERON_0005090
musculature,musculature,http://purl.obolibrary.org/obo/UBERON_0001015
#nares,naris,http://purl.obolibrary.org/obo/UBERON_0000003
nasal cavities,nasal cavity,http://purl.obolibrary.org/obo/UBERON_0001707
#nasal fossae,tonsillar fossa,http://purl.obolibrary.org/obo/UBERON_0035228
omentum,omentum,http://purl.obolibrary.org/obo/UBERON_0003688
#oronasopharynx,nasopharynx,http://purl.obolibrary.org/obo/UBERON_0001728
ovary,ovary,http://purl.obolibrary.org/obo/UBERON_0000992
#peritoneum cysts,gastrointestinal peritoneum,http://purl.obolibrary.org/obo/UBERON_3010819
plant leaf,leaf,http://purl.obolibrary.org/obo/PO_0025034
#pleural wash,pleural fluid,http://purl.obolibrary.org/obo/UBERON_0001087
lungs,lung,http://purl.obolibrary.org/obo/UBERON_0002048
posterior intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160
proventriculus,proventriculus,http://purl.obolibrary.org/obo/UBERON_0007357
#pyloric cacae (encysted),obsolete pyloric caecum,http://purl.obolibrary.org/obo/UBERON_2002253
#pyloric ceca,pyloric stomach,http://purl.obolibrary.org/obo/UBERON_0008246
rectum,rectum,http://purl.obolibrary.org/obo/UBERON_0001052
redia in gonads,gonad,http://purl.obolibrary.org/obo/UBERON_0000991
renal,kidney,http://purl.obolibrary.org/obo/UBERON_0002113
#iliac,iliac ramus,http://purl.obolibrary.org/obo/UBERON_4200220
kidney veins,renal vein,http://purl.obolibrary.org/obo/UBERON_0001140
#right cranial sinus,frontal sinus,http://purl.obolibrary.org/obo/UBERON_0001760
rumen,rumen,http://purl.obolibrary.org/obo/UBERON_0007365
rumen,rumen,http://purl.obolibrary.org/obo/UBERON_0007365
omasum,omasum,http://purl.obolibrary.org/obo/UBERON_0007362
#reticulum,stellate reticulum,http://purl.obolibrary.org/obo/UBERON_0006950
saliva,saliva,http://purl.obolibrary.org/obo/UBERON_0001836
#oronasopharynx,nasopharynx,http://purl.obolibrary.org/obo/UBERON_0001728
#sinus(es),sinus venosus,http://purl.obolibrary.org/obo/UBERON_0002063
skeletal muscle,skeletal muscle tissue,http://purl.obolibrary.org/obo/UBERON_0001134
skin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097
small intestine,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108
small intestine,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108
abo,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358
sm intestine,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108
spiral intestine,spiral valve of intestine,http://purl.obolibrary.org/obo/UBERON_0010016
#spiral valve,spiral valve of intestine,http://purl.obolibrary.org/obo/UBERON_0010016
spleen,spleen,http://purl.obolibrary.org/obo/UBERON_0002106
spleen,spleen,http://purl.obolibrary.org/obo/UBERON_0002106
liver,liver,http://purl.obolibrary.org/obo/UBERON_0002107
stifle region,spatial region,http://purl.obolibrary.org/obo/BFO_0000006
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945
stomach #1,stomach,http://purl.obolibrary.org/obo/UBERON_0000945
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945
intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945
rectum,rectum,http://purl.obolibrary.org/obo/UBERON_0001052
#stomach wall (cysts),abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697
#stomach wall (encysted),wall of stomach,http://purl.obolibrary.org/obo/UBERON_0001167
#subcutaneous,subcutaneous preadipocyte,http://purl.obolibrary.org/obo/CL_0002583
#subcutaneous tissue,cutaneous elastic tissue,http://purl.obolibrary.org/obo/UBERON_0003967
swim bladder,swim bladder,http://purl.obolibrary.org/obo/UBERON_0006860
throat,throat,http://purl.obolibrary.org/obo/UBERON_0000341
tissue,tissue,http://purl.obolibrary.org/obo/UBERON_0000479
trachea,trachea,http://purl.obolibrary.org/obo/UBERON_0003126
trachea,trachea,http://purl.obolibrary.org/obo/UBERON_0003126
bronchi,bronchus,http://purl.obolibrary.org/obo/UBERON_0002185
trunk,trunk,http://purl.obolibrary.org/obo/UBERON_0002100
#unattached,unidirectional,http://purl.obolibrary.org/obo/PATO_0001902
urinary bladder,urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001255
urine,urine,http://purl.obolibrary.org/obo/UBERON_0001088
vena cava,vena cava,http://purl.obolibrary.org/obo/UBERON_0004087
ventral colon,transverse colon,http://purl.obolibrary.org/obo/UBERON_0001157
ventriculus,cardiac ventricle,http://purl.obolibrary.org/obo/UBERON_0002082
visceral ligaments,visceral fascia,http://purl.obolibrary.org/obo/UBERON_0011237
