?wdx_Source	?sourceName	?intxnLabel	?intxnType	?wdx_Target	?targetName
<http://www.wikidata.org/entity/Q1009962>	"Cyphostethus tristriatus"^^<http://www.w3.org/2001/XMLSchema#string>	"interactsWith"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q161360>	"Chamaecyparis lawsoniana"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1009962>	"Cyphostethus tristriatus"^^<http://www.w3.org/2001/XMLSchema#string>	"parasiteOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002444>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1010053>	"Celeus castaneus"^^<http://www.w3.org/2001/XMLSchema#string>	"eats"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q15547338>	"Dilodendron elegans"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1010057>	"Cryphonectria parasitica"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1010057>	"Cryphonectria parasitica"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q3011274>	"Eucalyptus microcorys"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1010057>	"Cryphonectria parasitica"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q3280527>	"Eucalyptus robusta"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1017295>	"Marsdenia australis"^^<http://www.w3.org/2001/XMLSchema#string>	"interactsWith"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q5222883>	"Eucalyptus oleosa"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q102078886>	"Cytospora leucostoma"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q102158427>	"Protestrica rudis"^^<http://www.w3.org/2001/XMLSchema#string>	"eats"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q102299345>	"Pythium echinulatum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q602226>	"Eucalyptus obliqua"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q102797975>	"Eleodes armata"^^<http://www.w3.org/2001/XMLSchema#string>	"eats"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q675377>	"Olneya tesota"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q102797975>	"Eleodes armata"^^<http://www.w3.org/2001/XMLSchema#string>	"visitsFlowersOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002622>	<http://www.wikidata.org/entity/Q675377>	"Olneya tesota"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1028619>	"Hemithraupis guira"^^<http://www.w3.org/2001/XMLSchema#string>	"eats"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q15340794>	"Diospyros brasiliensis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1028619>	"Hemithraupis guira"^^<http://www.w3.org/2001/XMLSchema#string>	"eats"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q15374466>	"Myrcia glabra"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10317498>	"Lepidosaphes newsteadi"^^<http://www.w3.org/2001/XMLSchema#string>	"interactsWith"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10326354>	"Pergamasus crassipes"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10326354>	"Pergamasus crassipes"^^<http://www.w3.org/2001/XMLSchema#string>	"interactsWith"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10341209>	"Opsiphanes invirae"^^<http://www.w3.org/2001/XMLSchema#string>	"visits"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002618>	<http://www.wikidata.org/entity/Q1535705>	"Dypsis lutescens"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1034569>	"Flavoparmelia caperata"^^<http://www.w3.org/2001/XMLSchema#string>	"epiphyteOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0008501>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1034569>	"Flavoparmelia caperata"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHabitat"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002303>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1034569>	"Flavoparmelia caperata"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1034953>	"Trogon collaris"^^<http://www.w3.org/2001/XMLSchema#string>	"eats"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q15325172>	"Ardisia sapida"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1034953>	"Trogon collaris"^^<http://www.w3.org/2001/XMLSchema#string>	"eats"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q15490567>	"Psychotria areolata"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1035250>	"Hemispingus frontalis"^^<http://www.w3.org/2001/XMLSchema#string>	"eats"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q5433156>	"Fuchsia lehmannii"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103806070>	"Fusarium graminearum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q482510>	"Eucalyptus grandis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103806210>	"Fusarium heterosporum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q261309>	"Pinus monticola"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103806210>	"Fusarium heterosporum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q36071>	"Pistacia vera"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103809725>	"Pestalotiopsis heterocornis"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q15249956>	"Cleidiocarpon cavaleriei"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103811004>	"Nigrospora oryzae"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q917187>	"Chamaecyparis obtusa"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103811815>	"Fusarium lateritium"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103811815>	"Fusarium lateritium"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q5437817>	"Zamia loddigesii"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103817216>	"Laetiporus versisporus"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103817223>	"Seiridium unicorne"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103817223>	"Seiridium unicorne"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q161360>	"Chamaecyparis lawsoniana"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103817223>	"Seiridium unicorne"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q28112233>	"Cupressus arizonica var. glabra"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103817223>	"Seiridium unicorne"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q917187>	"Chamaecyparis obtusa"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103817240>	"Fusarium equiseti"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q36071>	"Pistacia vera"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103817297>	"Antrodiella gypsea"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103817297>	"Antrodiella gypsea"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q917187>	"Chamaecyparis obtusa"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103817323>	"Septoria pistaciarum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q36071>	"Pistacia vera"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q103817347>	"Gliocladium roseum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q714184>	"Cinnamomum osmophloeum"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10398017>	"Abortiporus roseus"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q482510>	"Eucalyptus grandis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10398525>	"Acanthonitschkea argentinensis"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q2137116>	"Eucalyptus viminalis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10399335>	"Achorodothis poasensis"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q15609522>	"Ocotea mollicella"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10399376>	"Achrus albicosta"^^<http://www.w3.org/2001/XMLSchema#string>	"eats"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q36071>	"Pistacia vera"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10399700>	"Acompocoris lepidus"^^<http://www.w3.org/2001/XMLSchema#string>	"interactsWith"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q261309>	"Pinus monticola"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10400014>	"Acremonium roseolum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10400180>	"Acrodontium crateriforme"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10400757>	"Acutaspis morrisonorum"^^<http://www.w3.org/2001/XMLSchema#string>	"interactsWith"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q1137143>	"Tsuga canadensis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10400757>	"Acutaspis morrisonorum"^^<http://www.w3.org/2001/XMLSchema#string>	"interactsWith"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10401411>	"Adolendana typica"^^<http://www.w3.org/2001/XMLSchema#string>	"eats"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q144309>	"Roscheria melanochaetes"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10401822>	"Aeolothrips melaleucus"^^<http://www.w3.org/2001/XMLSchema#string>	"interactsWith"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10401837>	"Aeolothrips versicolor"^^<http://www.w3.org/2001/XMLSchema#string>	"parasiteOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002444>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10403127>	"Agelaeopsylla dividua"^^<http://www.w3.org/2001/XMLSchema#string>	"eats"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002470>	<http://www.wikidata.org/entity/Q3917215>	"Angophora floribunda"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10403337>	"Agonimia octospora"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHabitat"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002303>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10403338>	"Agonimia opuntiella"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHabitat"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002303>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10403342>	"Agonimia repleta"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHabitat"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002303>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404274>	"Alatospora acuminata"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q2137116>	"Eucalyptus viminalis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404573>	"Alconeura unipuncta"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q1377986>	"Quercus lobata"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404593>	"Aldona americana"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q3410267>	"Pterocarpus officinalis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404594>	"Aldona minima"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q2385259>	"Pterocarpus marsupium"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404648>	"Alebra wahlbergi"^^<http://www.w3.org/2001/XMLSchema#string>	"interactsWith"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002437>	<http://www.wikidata.org/entity/Q156907>	"Fraxinus excelsior"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404844>	"Aleurocystidiellum subcruentatum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q1145589>	"Tsuga sieboldii"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404873>	"Aleurodiscus farlowii"^^<http://www.w3.org/2001/XMLSchema#string>	"adjacentTo"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002220>	<http://www.wikidata.org/entity/Q1137143>	"Tsuga canadensis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404873>	"Aleurodiscus farlowii"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q1137143>	"Tsuga canadensis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404877>	"Aleurodiscus grantii"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q716580>	"Abies kawakamii"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404887>	"Aleurodiscus mirabilis"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q3280527>	"Eucalyptus robusta"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404894>	"Aleurodiscus penicillatus"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q1137143>	"Tsuga canadensis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10404894>	"Aleurodiscus penicillatus"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q261309>	"Pinus monticola"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10405553>	"Allantophomopsis lycopodina"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/RO_0002454>	<http://www.wikidata.org/entity/Q261309>	"Pinus monticola"^^<http://www.w3.org/2001/XMLSchema#string>
