InputTerm,BestMatch,URI,Comment
bark under,bark,http://purl.obolibrary.org/obo/PO_0004518,
bark twig,bark,http://purl.obolibrary.org/obo/PO_0004518,
base,base,http://purl.obolibrary.org/obo/CHEBI_22695,
basidiome,basidiocarp,http://purl.obolibrary.org/obo/FAO_0000012,
beak,beak,http://purl.obolibrary.org/obo/UBERON_0005094,
berry,berry,http://purl.obolibrary.org/obo/BTO_0000119,
berry young,berry,http://purl.obolibrary.org/obo/BTO_0000119,
bile duct cell,bile duct cell line,http://purl.obolibrary.org/obo/BTO_0003909,
blade,blade-like,http://purl.obolibrary.org/obo/PATO_0002235,
blood plasma,blood plasma,http://purl.obolibrary.org/obo/UBERON_0001969,
blood samples,blood sample,,
blood sample,blood sample,,
body proper,body proper,http://purl.obolibrary.org/obo/UBERON_0013702,
bone marrow,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,
bone tissue,bone tissue,http://purl.obolibrary.org/obo/UBERON_0002481,
bone,bone,http://purl.obolibrary.org/obo/BTO_0000140,
bracket,bracket,http://purl.obolibrary.org/obo/PATO_0002142,
bracket upper surface,bracket,http://purl.obolibrary.org/obo/PATO_0002142,
branch base,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch (base 3-10cm above soil level),branch,http://purl.obolibrary.org/obo/PO_0025073,
branch (c. 1cm diam),branch,http://purl.obolibrary.org/obo/PO_0025073,
branch (c. 2cm thick),branch,http://purl.obolibrary.org/obo/PO_0025073,
bract,bract,http://purl.obolibrary.org/obo/PO_0009055,
branch attached,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch bark,bark,http://purl.obolibrary.org/obo/PO_0004518,
branch cortex,root cortex,http://purl.obolibrary.org/obo/PO_0000258,
branch corticate,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch c,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch decorticate,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch esp old,branch,http://purl.obolibrary.org/obo/PO_0025073,
branche,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch high up,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch large,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch lower,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch narrow,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch old,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch recently cut,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch small,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch surface sapwood,sapwood,http://purl.obolibrary.org/obo/PO_0004513,
branch terminal,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch thick,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch thin,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch tip,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch upper,branch,http://purl.obolibrary.org/obo/PO_0025073,
branch wood,wood,http://purl.obolibrary.org/obo/ENVO_00002040,
branch young,branch,http://purl.obolibrary.org/obo/PO_0025073,
bud flower,flower bud,http://purl.obolibrary.org/obo/PO_0000056,
bud leaf,leaf bud,http://purl.obolibrary.org/obo/BTO_0003668,
bud-peduncle,peduncle,http://purl.obolibrary.org/obo/PO_0009053,
bud terminal lateral,terminal bud,http://purl.obolibrary.org/obo/PO_0004713,
bud terminal,terminal bud,http://purl.obolibrary.org/obo/PO_0004713,
bud vegetative,vegetative bud,http://purl.obolibrary.org/obo/PO_0000058,
bud young,bud,http://purl.obolibrary.org/obo/PO_0000055,
bulb base,bulb,http://purl.obolibrary.org/obo/PO_0025356,
bulbil,bulbil,http://purl.obolibrary.org/obo/BTO_0005202,
bulb scale inner,bulb,http://purl.obolibrary.org/obo/PO_0025356,
bulb scale,bulb,http://purl.obolibrary.org/obo/PO_0025356,
bulb,bulb,http://purl.obolibrary.org/obo/PO_0025356,
burrow,burrow,http://purl.obolibrary.org/obo/ENVO_01000429,
bursa of fabriciu,bursa of Fabricius,http://purl.obolibrary.org/obo/UBERON_0003903,
bursa of fabricius,bursa of Fabricius,http://purl.obolibrary.org/obo/UBERON_0003903,
bursa fabricii,bursa of Fabricius,http://purl.obolibrary.org/obo/UBERON_0003903,
caecum  cecum,caecum,http://purl.obolibrary.org/obo/UBERON_0001153,
calyx underside,calyx,http://purl.obolibrary.org/obo/PO_0009060,
calyx,calyx,http://purl.obolibrary.org/obo/PO_0009060,
cambium,cambium,http://purl.obolibrary.org/obo/PO_0005597,
cambium of dead twig,cambium,http://purl.obolibrary.org/obo/PO_0005597,
canal,canal,http://purl.obolibrary.org/obo/PO_0025132,
canopy,canopy,http://purl.obolibrary.org/obo/ENVO_01001242,
capsule,capsule,http://purl.obolibrary.org/obo/UBERON_0003893,
carapace,carapace,http://purl.obolibrary.org/obo/UBERON_0008275,
cardiac ventricle,cardiac ventricle,http://purl.obolibrary.org/obo/UBERON_0002082,
carpel,carpel,http://purl.obolibrary.org/obo/PO_0009030,
cavity of pharynx,cavity of pharynx,http://purl.obolibrary.org/obo/UBERON_0001731,
cardiovascularSystem,cardiovascular system,http://purl.obolibrary.org/obo/UBERON_0004535,
cell,cell,http://purl.obolibrary.org/obo/CL_0000000,
chlamydospore,chlamydospore,http://purl.obolibrary.org/obo/FAO_0000067,
cladode,cladode,http://purl.obolibrary.org/obo/PO_0025354,
chloroplast,chloroplast,http://purl.obolibrary.org/obo/GO_0009507,
claw,claw,http://purl.obolibrary.org/obo/BTO_0001719,
cleistothecium,cleistothecium,http://purl.obolibrary.org/obo/FAO_0000047,
cob,cob,http://purl.obolibrary.org/obo/BTO_0000266,
coelemic cavity lumen,coelemic cavity lumen,http://purl.obolibrary.org/obo/UBERON_0002323,
coenobium,coelom,http://purl.obolibrary.org/obo/UBERON_0011997,
comb,comb,http://purl.obolibrary.org/obo/UBERON_0012176,
compost,compost,http://purl.obolibrary.org/obo/ENVO_00002170,
cone,cone,http://purl.obolibrary.org/obo/BTO_0000280,
conidiophore,conidiophore,http://purl.obolibrary.org/obo/FAO_0000043,
conidium,conidium,http://purl.obolibrary.org/obo/FAO_0000024,
cork,cork,http://purl.obolibrary.org/obo/ENVO_03501302,
corm,corm,http://purl.obolibrary.org/obo/PO_0025355,
corm base,corm,http://purl.obolibrary.org/obo/PO_0025355,
corolla tube,corolla tube,http://purl.obolibrary.org/obo/BTO_0005660,
corolla,corolla,http://purl.obolibrary.org/obo/PO_0009059,
cotyledon,cotyledon,http://purl.obolibrary.org/obo/PO_0020030,
cyathia,cyathia,http://purl.obolibrary.org/obo/PO_0030126,
cyst,cyst,http://purl.obolibrary.org/obo/BTO_0000320,
cytoplasm,cytoplasm,http://purl.obolibrary.org/obo/GO_0005737,
cytosol,cytosol,http://purl.obolibrary.org/obo/GO_0005829,
dead,dead,http://purl.obolibrary.org/obo/PATO_0001422,
deciduous branch,deciduous (plant),http://purl.obolibrary.org/obo/PATO_0001731,
decaying,decayed,http://purl.obolibrary.org/obo/PATO_0001432,
decaying sap,decayed,http://purl.obolibrary.org/obo/PATO_0001432,
detritu,detritus,http://purl.obolibrary.org/obo/ENVO_01001103,
digestive system duct,digestive system duct,http://purl.obolibrary.org/obo/UBERON_0003928,
duodenum wall,duodenum,http://purl.obolibrary.org/obo/UBERON_0002114,
elytral margin,elytral margin,,
erineum,erineum,http://purl.obolibrary.org/obo/GALLONT_0000048,
ectomycorrhiza,ectomycorrhiza,http://purl.obolibrary.org/obo/BTO_0002237,
egg,egg,http://purl.obolibrary.org/obo/BTO_0000369,
elaiosome,elaiosome,http://purl.obolibrary.org/obo/PO_0020062,
elytra,elytron,http://purl.obolibrary.org/obo/BTO_0000378,
elytron posterior part,elytron,http://purl.obolibrary.org/obo/BTO_0000378,
elytron right,elytron,http://purl.obolibrary.org/obo/BTO_0000378,
elytron,elytron,http://purl.obolibrary.org/obo/BTO_0000378,
elytron usually right,elytron,http://purl.obolibrary.org/obo/BTO_0000378,
endoplasmic reticulum lumen,endoplasmic reticulum,http://purl.obolibrary.org/obo/GO_0005783,
endoplasmic reticulum,endoplasmic reticulum,http://purl.obolibrary.org/obo/GO_0005783,
epidermi,epidermis,http://purl.obolibrary.org/obo/BTO_0000404,
entrance to burrow,burrow,http://purl.obolibrary.org/obo/ENVO_01000429,
eustacian tube,eustachian tube,http://purl.obolibrary.org/obo/OMIT_0006288,
exoskeleton fragment,exoskeleton,http://purl.obolibrary.org/obo/UBERON_0006611,
exoskeleton,exoskeleton,http://purl.obolibrary.org/obo/UBERON_0006611,
external encapsulating structure,external encapsulating structure,http://purl.obolibrary.org/obo/GO_0030312,
external to,external to,http://purl.obolibrary.org/obo/PATO_0002483,
extracellular region,extracellular region,http://purl.obolibrary.org/obo/GO_0005576,
exudate,exudate,http://purl.obolibrary.org/obo/UBERON_0007780,
eyeball of camera-type eye,eyeball of camera-type eye,http://purl.obolibrary.org/obo/UBERON_0010230,
eye humour,aqueous humor of eyeball,http://purl.obolibrary.org/obo/UBERON_0001796,
eye lashe,eyelash,http://purl.obolibrary.org/obo/UBERON_0001702,
eyelid,eyelid,http://purl.obolibrary.org/obo/UBERON_0001711,
eye lense squid,lens of camera-type eye,http://purl.obolibrary.org/obo/UBERON_0000965,
lens,lens of camera-type eye,http://purl.obolibrary.org/obo/UBERON_0000965,
flower stem just above node,flower stalk,http://purl.obolibrary.org/obo/BTO_0002244,
face,face,http://purl.obolibrary.org/obo/UBERON_0001456,
faece,feces,http://purl.obolibrary.org/obo/UBERON_0001988,
fece,feces,http://purl.obolibrary.org/obo/UBERON_0001988,
fagus mycorrhiza,mycorrhiza,http://purl.obolibrary.org/obo/BTO_0000893,
fat body,fat body,http://purl.obolibrary.org/obo/BTO_0000442,
feather,feather,http://purl.obolibrary.org/obo/UBERON_0000022,
femur,femur,http://purl.obolibrary.org/obo/UBERON_0000981,
fertile colony,fertile,http://purl.obolibrary.org/obo/PATO_0000955,
filament,filament,http://purl.obolibrary.org/obo/PO_0009067,
fish skull,skull,http://purl.obolibrary.org/obo/UBERON_0003129,
floral pedicel,flower pedicel,http://purl.obolibrary.org/obo/PO_0030113,
floret,floret,http://purl.obolibrary.org/obo/BTO_0000468,
flower stalk,flower stalk,http://purl.obolibrary.org/obo/BTO_0002244,
flower bud,flower bud,http://purl.obolibrary.org/obo/PO_0000056,
foetu,fetus,http://purl.obolibrary.org/obo/BTO_0000449,
fetu,fetus,http://purl.obolibrary.org/obo/BTO_0000449,
foot,foot,http://purl.obolibrary.org/obo/BTO_0000476,
forehead anterior central,forehead,http://purl.obolibrary.org/obo/UBERON_0008200,
forehead,forehead,http://purl.obolibrary.org/obo/UBERON_0008200,
fragment,fragmented,http://purl.obolibrary.org/obo/PATO_0040047,
frond,frond,http://purl.obolibrary.org/obo/BTO_0000483,
frond sterile,frond,http://purl.obolibrary.org/obo/BTO_0000483,
frond vein,frond,http://purl.obolibrary.org/obo/BTO_0000483,
fruitbody,fruitbody,http://purl.obolibrary.org/obo/FAO_0000007,
fruit esp,fruit,http://purl.obolibrary.org/obo/PO_0009001,
fruiting calyx,calyx,http://purl.obolibrary.org/obo/PO_0009060,
fruit later,fruit,http://purl.obolibrary.org/obo/PO_0009001,
fruit pedicel,fruit pedicel,http://purl.obolibrary.org/obo/PO_0030114,
fruit red,fruit,http://purl.obolibrary.org/obo/PO_0009001,
fruit unripe,fruit,http://purl.obolibrary.org/obo/PO_0009001,
fruit young,fruit,http://purl.obolibrary.org/obo/PO_0009001,
fruit stalk,stalk of the fruiting body,http://purl.obolibrary.org/obo/DDANAT_0000068,
gemma,gemma,http://purl.obolibrary.org/obo/PO_0025614,
gland of digestive tract,gland of digestive tract,http://purl.obolibrary.org/obo/UBERON_0003408,
gleba,gleba,http://purl.obolibrary.org/obo/BTO_0000523,
glume,glume,http://purl.obolibrary.org/obo/PO_0009039,
gravid,gravid adult,http://purl.obolibrary.org/obo/BTO_0004733,
gut epithelium cell,gut epithelium,http://purl.obolibrary.org/obo/BTO_0000956,
gut wall,gut wall,http://purl.obolibrary.org/obo/UBERON_0000328,
hair follicle,hair follicle,http://purl.obolibrary.org/obo/UBERON_0002073,
hair,hair,http://purl.obolibrary.org/obo/BTO_0001501,
hand,hand,http://purl.obolibrary.org/obo/BTO_0004668,
haustorium,haustorium,http://purl.obolibrary.org/obo/FAO_0000066,
head capsule,head capsule,http://purl.obolibrary.org/obo/BTO_0004711,
head,head,http://purl.obolibrary.org/obo/UBERON_0000033,
heartwood,heartwood,http://purl.obolibrary.org/obo/PO_0004512,
hemolymph,hemolymph,http://purl.obolibrary.org/obo/UBERON_0001011,
hind gut,hindgut,http://purl.obolibrary.org/obo/BTO_0000510,
hoof,hoof,http://purl.obolibrary.org/obo/UBERON_0008963,
horn base,horn,http://purl.obolibrary.org/obo/UBERON_0006967,
horn,horn,http://purl.obolibrary.org/obo/UBERON_0006967,
hymenium around margin,hymenium,http://purl.obolibrary.org/obo/BTO_0005371,
hymenium,hymenium,http://purl.obolibrary.org/obo/BTO_0005371,
hyphae,hypha,http://purl.obolibrary.org/obo/FAO_0001001,
hypha,hypha,http://purl.obolibrary.org/obo/FAO_0001001,
hypocotyl,hypocotyl,http://purl.obolibrary.org/obo/PO_0020100,
ilium,ilium,http://purl.obolibrary.org/obo/UBERON_0001273,
ileocecal junction,ileocecal junction,http://purl.obolibrary.org/obo/UBERON_0001073,
in axillary bud,axillary bud,http://purl.obolibrary.org/obo/PO_0004709,
infllorescence,inflorescence,http://purl.obolibrary.org/obo/PO_0009049,
inflorescence axi,inflorescence,http://purl.obolibrary.org/obo/PO_0009049,
inflorescence,inflorescence,http://purl.obolibrary.org/obo/PO_0009049,
inside bark,bark,http://purl.obolibrary.org/obo/PO_0004518,
inside of elytra,elytron,http://purl.obolibrary.org/obo/BTO_0000378,
integumental system,integumental system,http://purl.obolibrary.org/obo/UBERON_0002416,
integumentarysystem,integumental system,http://purl.obolibrary.org/obo/UBERON_0002416,
integument,integument,http://purl.obolibrary.org/obo/UBERON_0002199,
integumental cyst,integument,http://purl.obolibrary.org/obo/UBERON_0002199,
integument cyst,integument,http://purl.obolibrary.org/obo/UBERON_0002199,
internode,internode,http://purl.obolibrary.org/obo/BTO_0000636,
intestinal wall,intestinal wall,http://purl.obolibrary.org/obo/BTO_0000647,
intestinal lumen,intestinal lumen,http://purl.obolibrary.org/obo/UBERON_0018543,
intestine esp just behind the crop,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,
intestine large,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,
intestine spiral valve,spiral valve of intestine,http://purl.obolibrary.org/obo/UBERON_0010016,
involucre,involucre,http://purl.obolibrary.org/obo/PO_0009100,
jaw,jaw,http://purl.obolibrary.org/obo/BTO_0001749,
kernel developing,kernel,http://purl.obolibrary.org/obo/BTO_0000668,
kernel,kernel,http://purl.obolibrary.org/obo/BTO_0000668,
lamina,lamina,http://purl.obolibrary.org/obo/UBERON_0000957,
large branch,branch,http://purl.obolibrary.org/obo/PO_0025073,
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
leaf underside,leaf abaxial epidermis,http://purl.obolibrary.org/obo/PO_0006019,
leaf axil,leaf axil,http://purl.obolibrary.org/obo/PO_0009023,
leaf basal rosette,rosette leaf,http://purl.obolibrary.org/obo/PO_0000014,
leaf base,leaf base,http://purl.obolibrary.org/obo/PO_0020040,
leaf-base,leaf base,http://purl.obolibrary.org/obo/PO_0020040,
leaf blade->petiole,petiole,http://purl.obolibrary.org/obo/PO_0020038,
leaf bud,leaf bud,http://purl.obolibrary.org/obo/BTO_0003668,
leaf disc,leaf disc,http://purl.obolibrary.org/obo/BTO_0003938,
leaflet,leaflet,http://purl.obolibrary.org/obo/PO_0020049,
leaflet upper,leaflet,http://purl.obolibrary.org/obo/PO_0020049,
leaf margin,leaf margin,http://purl.obolibrary.org/obo/PO_0020128,
leaf mesophyll,leaf mesophyll,http://purl.obolibrary.org/obo/PO_0005645,
leaf rachi,leaf rachis,http://purl.obolibrary.org/obo/PO_0020055,
leaf radical,radical leaf,http://purl.obolibrary.org/obo/BTO_0005272,
leaf rosette,rosette leaf,http://purl.obolibrary.org/obo/PO_0000014,
leaf -> sheath,leaf sheath,http://purl.obolibrary.org/obo/PO_0020104,
leaf sheath,leaf sheath,http://purl.obolibrary.org/obo/PO_0020104,
leaf-sheath,leaf sheath,http://purl.obolibrary.org/obo/PO_0020104,
leaf,leaf,http://purl.obolibrary.org/obo/PO_0025034,
leaf vein,leaf vein,http://purl.obolibrary.org/obo/BTO_0005515,
leg,leg,http://purl.obolibrary.org/obo/UBERON_0000978,
litter,litter,http://purl.obolibrary.org/obo/ENVO_03501259,
live,alive,http://purl.obolibrary.org/obo/PATO_0001421,
liver cyst,hepatic cyst,http://purl.obolibrary.org/obo/NCIT_C3960,
locule,locule,http://purl.obolibrary.org/obo/PO_0025263,
lumen of digestive tract,lumen of digestive tract,http://purl.obolibrary.org/obo/UBERON_0006909,
lymph node,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,
macrophage,macrophage,http://purl.obolibrary.org/obo/CL_0000235,
male,male,http://purl.obolibrary.org/obo/PATO_0000384,
malpighian tubule,Malpighian tubule,http://purl.obolibrary.org/obo/UBERON_0001054,
mammalian milk,mammalian milk,http://purl.obolibrary.org/obo/FOODON_03303908,
mandible,mandible,http://purl.obolibrary.org/obo/UBERON_0001684,
mantle,mantle,http://purl.obolibrary.org/obo/UBERON_0006575,
manure,manure,http://purl.obolibrary.org/obo/ENVO_03501300,
marsh,marsh,http://purl.obolibrary.org/obo/ENVO_00000035,
mature,mature,http://purl.obolibrary.org/obo/PATO_0001701,
mericarp,mericarp,http://purl.obolibrary.org/obo/PO_0020075,
mineral nutrient,mineral nutrient,http://purl.obolibrary.org/obo/CHEBI_167164,
mollusc shell,mollusc shell,http://purl.obolibrary.org/obo/UBERON_0008270,
multicellular organism,multicellular organism,http://purl.obolibrary.org/obo/UBERON_0000468,
muscle,muscle,http://purl.obolibrary.org/obo/BTO_0000887,
mushroom body,mushroom body,http://purl.obolibrary.org/obo/UBERON_0001058,
mycelium,mycelium,http://purl.obolibrary.org/obo/FAO_0000011,
mycorrhiza,mycorrhiza,http://purl.obolibrary.org/obo/BTO_0000893,
nasal gland,gland of nasal mucosa,http://purl.obolibrary.org/obo/UBERON_0012278,
nari,naris,http://purl.obolibrary.org/obo/UBERON_0000003,
neck,neck,http://purl.obolibrary.org/obo/UBERON_0000974,
nectar,nectar,http://purl.obolibrary.org/obo/BTO_0000537,
nectary,nectary,http://purl.obolibrary.org/obo/PO_0009035,
nephridium,nephridium,http://purl.obolibrary.org/obo/UBERON_0006972,
nerve,nerve,http://purl.obolibrary.org/obo/UBERON_0001021,
nervousSystem,nervous system,http://purl.obolibrary.org/obo/UBERON_0001016,
nervoussystem,nervous system,http://purl.obolibrary.org/obo/UBERON_0001016,
digestiveSystem,digestive system,http://purl.obolibrary.org/obo/UBERON_0001007,
digestivesystem,digestive system,http://purl.obolibrary.org/obo/UBERON_0001007,
nose,nose,http://purl.obolibrary.org/obo/UBERON_0000004,
mitochondrion,mitochondrion,http://purl.obolibrary.org/obo/GO_0005739,
nestling,nestling,http://purl.obolibrary.org/obo/UBERON_0007221,
oesophagu,oesophagus,http://purl.obolibrary.org/obo/UBERON_0001043,
oospore,oospore,http://purl.obolibrary.org/obo/FAO_0000039,
operculum,operculum,http://purl.obolibrary.org/obo/UBERON_2000250,
organ cavity,organ cavity,http://purl.obolibrary.org/obo/UBERON_0002558,
otolithi,otolith,http://purl.obolibrary.org/obo/UBERON_0002280,
otolith,otolith,http://purl.obolibrary.org/obo/UBERON_0002280,
outer sapwood,sapwood,http://purl.obolibrary.org/obo/PO_0004513,
palea,palea,http://purl.obolibrary.org/obo/PO_0009038,
parenchema,parenchyma,http://purl.obolibrary.org/obo/PO_0005421,
pedicel,pedicel,http://purl.obolibrary.org/obo/UBERON_3000692,
peduncle top,peduncle,http://purl.obolibrary.org/obo/PO_0009053,
peduncle,peduncle,http://purl.obolibrary.org/obo/PO_0009053,
perianth,perianth,http://purl.obolibrary.org/obo/PO_0009058,
pericardial sac,pericardial sac,http://purl.obolibrary.org/obo/UBERON_0002406,
pericardium,pericardium,http://purl.obolibrary.org/obo/UBERON_0002407,
perithecium,perithecium,http://purl.obolibrary.org/obo/FAO_0001036,
periplasmic space,periplasmic space,http://purl.obolibrary.org/obo/GO_0042597,
petal,petal,http://purl.obolibrary.org/obo/PO_0009032,
petal young,petal,http://purl.obolibrary.org/obo/PO_0009032,
petiole base,petiole,http://purl.obolibrary.org/obo/PO_0020038,
petiole,petiole,http://purl.obolibrary.org/obo/PO_0020038,
phloem,phloem,http://purl.obolibrary.org/obo/PO_0005417,
phyllary,phyllary,http://purl.obolibrary.org/obo/PO_0009045,
pinnule,pinnule,http://purl.obolibrary.org/obo/BTO_0002511,
pinus mycorrhiza,mycorrhiza,http://purl.obolibrary.org/obo/BTO_0000893,
pitcher,pitcher,http://purl.obolibrary.org/obo/BTO_0001069,
pith,pith,http://purl.obolibrary.org/obo/PO_0006109,
plant exudate,exudate,http://purl.obolibrary.org/obo/UBERON_0007780,
plant gall,plant gall,http://purl.obolibrary.org/obo/PO_0025626,
plant,plant,http://purl.obolibrary.org/obo/BTO_0001481,
pod,pod,http://purl.obolibrary.org/obo/BTO_0001095,
pole,pole,http://purl.obolibrary.org/obo/ENVO_01000498,
pollen_grain,pollen,http://purl.obolibrary.org/obo/PO_0025281,
pollen,pollen,http://purl.obolibrary.org/obo/PO_0025281,
polyp,polyp,http://purl.obolibrary.org/obo/BTO_0006350,
pore,pore,http://purl.obolibrary.org/obo/UBERON_0008915,
prickle,prickle,http://purl.obolibrary.org/obo/PO_0025169,
proboscis sheath,proboscis sheath,http://purl.obolibrary.org/obo/TGMA_0000076,
pronotum,pronotum,http://purl.obolibrary.org/obo/HAO_0000853,
propodeum,propodeum,http://purl.obolibrary.org/obo/HAO_0001248,
prosternum,prosternum,http://purl.obolibrary.org/obo/HAO_0000873,
prothorax,prothorax,http://purl.obolibrary.org/obo/HAO_0000874,
proventriculus,proventriculus,http://purl.obolibrary.org/obo/UBERON_0007357,
pseudostem,pseudostem,http://purl.obolibrary.org/obo/PO_0025248,
pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,
pyloric caecum,actinopterygian pyloric caecum,http://purl.obolibrary.org/obo/UBERON_4300174,
pyloric cacae (encysted),actinopterygian pyloric caecum,http://purl.obolibrary.org/obo/UBERON_4300174,
pyloric ceca,actinopterygian pyloric caecum,http://purl.obolibrary.org/obo/UBERON_4300174,
pyloric cecae,actinopterygian pyloric caecum,http://purl.obolibrary.org/obo/UBERON_4300174,
receptacle,receptacle,http://purl.obolibrary.org/obo/PO_0009064,
renal vein,renal vein,http://purl.obolibrary.org/obo/UBERON_0001140,
reproductive system,reproductive system,http://purl.obolibrary.org/obo/UBERON_0000990,
resin,resin,http://purl.obolibrary.org/obo/ENVO_03510018,
respiratory system,respiratory system,http://purl.obolibrary.org/obo/UBERON_0001004,
respiratorySystem,respiratory system,http://purl.obolibrary.org/obo/UBERON_0001004,
respiratory tract,respiratory tract,http://purl.obolibrary.org/obo/UBERON_0000065,
retina,retina,http://purl.obolibrary.org/obo/UBERON_0000966,
rhizoid,rhizoid,http://purl.obolibrary.org/obo/PO_0030078,
rhizome,rhizome,http://purl.obolibrary.org/obo/PO_0004542,
rhizomorph,rhizomorph,http://purl.obolibrary.org/obo/FAO_0001005,
rhyzoid,rhizoid,http://purl.obolibrary.org/obo/PO_0030078,
right opercular cavity,opercular cavity,http://purl.obolibrary.org/obo/UBERON_2002154,
root exposed part,root,http://purl.obolibrary.org/obo/NCBITaxon_1,
root hair,root hair,http://purl.obolibrary.org/obo/BTO_0001804,
root nodule,root nodule,http://purl.obolibrary.org/obo/PO_0003023,
root system,root system,http://purl.obolibrary.org/obo/PO_0025025,
root tip,root tip,http://purl.obolibrary.org/obo/PO_0000025,
rootstock,rhizome,http://purl.obolibrary.org/obo/PO_0004542,
rosette,rosette,http://purl.obolibrary.org/obo/PO_0025615,
ruminant reticulum,ruminant reticulum,http://purl.obolibrary.org/obo/UBERON_0007361,
salix mycorrhiza,mycorrhiza,http://purl.obolibrary.org/obo/FAO_0001027,
