Input Term,Best Match,URI,Similarity Score
II. III.,meiosis II,http://purl.obolibrary.org/obo/GO_0007135,0.4064
I. II. III.,meiosis II,http://purl.obolibrary.org/obo/GO_0007135,0.4745
imago,phagocyte,http://purl.obolibrary.org/obo/CL_0000234,0.5034
immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
juv.,vacuole,http://purl.obolibrary.org/obo/GO_0005773,0.4429
adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,1.0000
Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,1.0000
juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,1.0000
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
juveniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8717
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1.0000
Larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1.0000
larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
Larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
larvae and adults,larval development,http://purl.obolibrary.org/obo/GO_0002164,0.6631
larvae; eggs,larval development,http://purl.obolibrary.org/obo/GO_0002164,0.7040
larval,larval,http://purl.obolibrary.org/obo/PATO_0001185,1.0000
Larval,larval,http://purl.obolibrary.org/obo/PATO_0001185,1.0000
Larval & Pupa,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7787
larva; nymph,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8328
larve,lahar,http://purl.obolibrary.org/obo/ENVO_01000699,0.6311
last instar larva,second instar larva,http://purl.obolibrary.org/obo/UBERON_0018382,0.8861
leaves,leaf,http://purl.obolibrary.org/obo/PO_0025034,0.8455
blades,iliac blade,http://purl.obolibrary.org/obo/UBERON_0010746,0.6602
mainly adult,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.5870
mainly chick,breast feather,http://purl.obolibrary.org/obo/UBERON_0018538,0.4236
male,male gamete,http://purl.obolibrary.org/obo/CL_0000408,0.6342
mature,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.7952
medusae,cavum medius,http://purl.obolibrary.org/obo/UBERON_3000087,0.5473
metacercaria,metacercaria,http://purl.obolibrary.org/obo/UBERON_0018385,1.0000
Metacercariae,metacercaria,http://purl.obolibrary.org/obo/UBERON_0018385,0.8471
metacestode,metacestode,http://purl.obolibrary.org/obo/UBERON_0018379,1.0000
microfilaria,microspore,http://purl.obolibrary.org/obo/PO_0020048,0.7052
Microfilaria,microspore,http://purl.obolibrary.org/obo/PO_0020048,0.7052
microfilariae,microsporangium,http://purl.obolibrary.org/obo/PO_0025202,0.7372
Mixed,mixed forest,http://purl.obolibrary.org/obo/ENVO_01000431,0.5809
n1,digit 1,http://purl.obolibrary.org/obo/UBERON_0006048,0.5252
n2,digit 2,http://purl.obolibrary.org/obo/UBERON_0006049,0.5371
n3,digit 3,http://purl.obolibrary.org/obo/UBERON_0006050,0.5246
n4,digit 4,http://purl.obolibrary.org/obo/UBERON_0006051,0.5874
n5,digit 5,http://purl.obolibrary.org/obo/UBERON_0006052,0.5664
n6,digit 6,http://purl.obolibrary.org/obo/UBERON_0016856,0.6117
naiad,fishpond,http://purl.obolibrary.org/obo/ENVO_00000056,0.4647
n.a.,N-acylammonia,http://purl.obolibrary.org/obo/CHEBI_83628,0.4957
others,mine,http://purl.obolibrary.org/obo/ENVO_00000076,0.4482
NEO,Neoptera,http://purl.obolibrary.org/obo/NCBITaxon_33340,0.7047
Nestling,nest of bird,http://purl.obolibrary.org/obo/ENVO_00005805,0.6819
nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.7422
Nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.7422
nymphs,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.6820
oocyst,oocyte,http://purl.obolibrary.org/obo/CL_0000023,0.7089
other,opposite,http://purl.obolibrary.org/obo/PATO_0001933,0.4430
ovigerous,oviduct,http://purl.obolibrary.org/obo/UBERON_0000993,0.7260
P,seep,http://purl.obolibrary.org/obo/ENVO_01000262,0.5035
paralarva,Paramo,http://purl.obolibrary.org/obo/ENVO_01001360,0.7190
juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,1.0000
parthenitae,Euteleostomi,http://purl.obolibrary.org/obo/NCBITaxon_117571,0.5457
Parthinitae,subparietal sulcus,http://purl.obolibrary.org/obo/UBERON_0002908,0.5163
plerocercoid,plerome,http://purl.obolibrary.org/obo/PO_0008035,0.6780
POSTLARVA,posthypocrista,http://purl.obolibrary.org/obo/UBERON_0018292,0.6178
protonymph,proton,http://purl.obolibrary.org/obo/CHEBI_24636,0.7866
protozoan stage,plant proembryo stage,http://purl.obolibrary.org/obo/PO_0001180,0.6261
pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,1.0000
Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,1.0000
pupae,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.8544
pupal case,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,1.0000
Pupal Case,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,1.0000
recruits,military training area,http://purl.obolibrary.org/obo/ENVO_00000561,0.4835
juv.,vacuole,http://purl.obolibrary.org/obo/GO_0005773,0.4429
reproductive,reproductive process,http://purl.obolibrary.org/obo/GO_0022414,0.8607
Seedling,seedling,http://purl.obolibrary.org/obo/PO_0008037,1.0000
Senescing,nerve,http://purl.obolibrary.org/obo/UBERON_0001021,0.5462
sourceLifeStageName,pnictogen,http://purl.obolibrary.org/obo/CHEBI_33300,0.4325
stage 1,death stage,http://purl.obolibrary.org/obo/UBERON_0000071,0.6316
stage III,death stage,http://purl.obolibrary.org/obo/UBERON_0000071,0.6294
statoblasts,statocyst,http://purl.obolibrary.org/obo/UBERON_0006583,0.6177
subadult,subpolar,http://purl.obolibrary.org/obo/ENVO_01000251,0.5980
targetLifeStageName,death stage,http://purl.obolibrary.org/obo/UBERON_0000071,0.3928
Teleutospores,Teleostomi,http://purl.obolibrary.org/obo/NCBITaxon_117570,0.6409
Telomorph,Teleostei,http://purl.obolibrary.org/obo/NCBITaxon_32443,0.7508
tetrathyridia,Tetradontoidea,http://purl.obolibrary.org/obo/NCBITaxon_32517,0.7551
tetrathyridium,Tetradontoidea,http://purl.obolibrary.org/obo/NCBITaxon_32517,0.6948
Tritonymph,otolymph,http://purl.obolibrary.org/obo/UBERON_0006586,0.5973
Type coll.,columnar,http://purl.obolibrary.org/obo/PATO_0002063,0.4628
unspecified,obsolete unspecified,http://purl.obolibrary.org/obo/UBERON_0006336,0.6702
Unspecified,obsolete unspecified,http://purl.obolibrary.org/obo/UBERON_0006336,0.6702
Vegetative,vegetative bud,http://purl.obolibrary.org/obo/PO_0000058,0.7638
VELIGER,velamen,http://purl.obolibrary.org/obo/PO_0006042,0.7482
young,young,http://purl.obolibrary.org/obo/PATO_0000309,1.0000
young of year,young,http://purl.obolibrary.org/obo/PATO_0000309,0.8007
